103.230.226.59, , , , 0, None, India, 20.0, 77.0, Asia/Calcutta, AS
104.174.123.66, , , , 0, None, United States, 38.0, -97.0, , NA
109.236.121.91, , , , 0, None, Slovakia, 48.6667, 19.5, Europe/Bratislava, EU
109.86.226.85, , , , 0, None, Ukraine, 50.45, 30.5233, , EU
110.172.144.7, New Delhi, , 07, 0, None, India, 28.6, 77.2, Asia/Calcutta, AS
112.133.203.43, , , , 0, None, India, 20.0, 77.0, Asia/Calcutta, AS
150.129.48.162, Sikka, , 36, 0, None, India, 29.5058, 77.3658, Asia/Calcutta, AS
150.129.48.171, Sikka, , 36, 0, None, India, 29.5058, 77.3658, Asia/Calcutta, AS
150.129.49.11, Sikka, , 36, 0, None, India, 29.5058, 77.3658, Asia/Calcutta, AS
162.153.189.143, , , , 0, None, United States, 38.0, -97.0, , NA
173.216.247.74, Branson, 65616, MO, 417, Springfield MO, United States, 36.6696, -93.2615, America/Chicago, NA
173.243.255.79, Durant, 74701, OK, 580, Sherman TX, United States, 33.995, -96.3917, America/Chicago, NA
173.248.31.6, Cameron, 54822, WI, 715, Minneapolis-St Paul MN, United States, 45.3905, -91.6764, America/Chicago, NA
176.36.251.208, , , , 0, None, Ukraine, 50.45, 30.5233, , EU
178.222.250.35, Belgrade, , 00, 0, None, Serbia, 44.8186, 20.4681, Europe/Belgrade, EU
180.233.123.210, , , , 0, None, India, 20.0, 77.0, Asia/Calcutta, AS
186.68.94.38, Guayaquil, , 10, 0, None, Ecuador, -2.1667, -79.9, America/Guayaquil, SA
188.125.38.100, Warsaw, 04-741, 78, 0, None, Poland, 52.25, 21.0, Europe/Warsaw, EU
188.137.122.42, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
188.255.236.184, Beograd, , 00, 0, None, Serbia, 44.8186, 20.4681, Europe/Belgrade, EU
188.255.239.34, Beograd, , 00, 0, None, Serbia, 44.8186, 20.4681, Europe/Belgrade, EU
188.255.243.105, Beograd, , 00, 0, None, Serbia, 44.8186, 20.4681, Europe/Belgrade, EU
190.152.19.142, Quito, , 18, 0, None, Ecuador, -0.2167, -78.5, None, SA
193.43.231.104, Grzegorz, , 73, 0, None, Poland, 53.2304, 18.68, Europe/Warsaw, EU
193.106.193.74, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
194.28.190.84, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
194.28.191.245, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
194.106.166.22, , , , 0, None, Serbia, 44.0, 21.0, Europe/Belgrade, EU 
194.228.203.19, , , , 0, None, Czech Republic, 50.0833, 14.4167, Europe/Prague, EU
195.117.119.117, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
197.149.65.34, , , , 0, None, Nigeria, 10.0, 8.0, Africa/Lagos, AF
197.210.199.21, , , , 0, None, Nigeria, 10.0, 8.0, Africa/Lagos, AF
197.210.215.76, , , , 0, None, Nigeria, 10.0, 8.0, Africa/Lagos, AF
199.192.214.102, Cannington, , ON, 0, None, Canada, 44.35, -79.0333, America/Rainy_River, NA
203.115.103.27, , , , 0, None, India, 20.0, 77.0, Asia/Calcutta, AS
203.129.197.50, , , , 0, None, India, 20.0, 77.0, Asia/Calcutta, AS
208.117.68.78, Olney Springs, 81062, CO, 719, Colorado Springs CO, United States, 38.3241, -103.9486, America/Denver, NA
209.27.49.117, , , , 0, None, United States, 38.0, -97.0, , NA
209.40.238.170, Saint Louis, 63110, MO, 314, St Louis MO, United States, 38.6253, -90.2694, America/Chicago, NA
213.92.138.154, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
216.16.93.250, Storm Lake, 50588, IA, 712, Sioux City IA, United States, 42.6765, -95.1615, America/Chicago, NA
216.254.231.11, Sikeston, 63801, MO, 573, Paducah KY, United States, 36.8985, -89.5669, America/Chicago, NA
217.168.210.122, , , , 0, None, Czech Republic, 50.0833, 14.4167, Europe/Prague, EU
24.148.217.188, Charlotte, 28215, NC, 704, Charlotte NC, United States, 35.2527, -80.6929, America/New_York, NA
24.220.92.193, Grand Forks, 58201, ND, 701, Fargo-Valley City ND, United States, 47.8719, -97.1503, America/Chicago, NA
24.33.131.116, Dayton, 45424, OH, 937, Dayton OH, United States, 39.8453, -84.1122, None, NA
27.109.20.53, Gold, , 12, 0, None, India, 33.5889, 74.1444, Asia/Calcutta, AS
31.47.104.232, Naklo, 783 32, 84, 0, None, Czech Republic, 49.6552, 17.1326, Europe/Prague, EU
